TOPIC,1,2,3,4,5
topic,politics,technology,fashion,slang,music / culture
topic description ,"The American political system is a drama that can keep anyone guessing -- and no, we’re not just talking about House Of Cards. Take a trip down the red, white and blue memory lane, and hear what a difference a decade can make.","Technology has become a defining part of our generational divides. Just think back on your first social media platform, cell phone model, video game console, or screen name. Chances are they’ll feel dated to people just a few years older/younger than you. Just give a listen to these stories about super specific moments in teen tech culture.  
","Establishing fashion trends is a rite of passage of every generation of teens. But when it comes to the clothes we actually wore back when we were young… well some things stood the test of time better than others. So break out the JNCO jeans and try on these vintage pieces from teens over the last ten years.
","Ever hear a teen talk and feel like they’re speaking a different language? Every generation (and region) establishes their own style of slang. Listening back on it, we have to ask ourselves. What the heck were we trying to say??","From music to media to gender pronouns, a lot has changed over the past decade. Yesterday’s “fringe” is tomorrow’s “mainstream.” We touch on a few important trends that have defined each generation’s understanding of who we are."
circle color ,#E3FF99,#AAFF99,#00E0C4,,#7B6DE6
,,,,,
X story title ,Youth Reflect on Obama Victory,,,,
X audio file ,,,,,
X story description,Yes we did. Barack Obama became the first black President of the United States on a campaign of hope.,,,,
X link ,http://www.npr.org/templates/story/story.php?storyId=96713940,,,,
X bg color ,#cce589,#9CEA8C,#00E0C4,#B084CC,#7B6DE6
x story year,2008,,,,
,,,,,
Y story title ,Can Paul Ryan get the youth vote?,,,,
Y audio file ,,,,,
Y story description,"From when Paul Ryan was the fresh-faced, guitar-playing, political candidate of 2012 conservatives’ dreams.",,,,
Y link ,http://www.npr.org/2012/08/29/160244322/paul-ryans-youthful-but-can-he-get-the-youth-vote,,,,
Y bg color ,#B4CA79,#8ED37E,#00D3BA,#A27ABC,#7467DB
Y story year,2012,,,,
,,,,,
Z story title ,Donald Trump Takes Office:,,,,
Z audio file ,,,,,
Z story description,"In a stunning political upset, Donald J.Trump became President #45 -- with many liberals still asking, “What just happened?”",,,,
Z link ,https://youthradio.org/journalism/podcasts/youth-radio-podcast-donald-trump-takes-office/,,,,
Z bg color ,#9DB069,#7DBC71,#17C0AC,#946FAB,#6C5FCC
Z story year,2017,,,,
,,,,,
,,,,,
,,,,,
,,,,,
BG color,2E7AAE,,,,
current topic circle color,2F344D,,,,
